"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs11088309-<b>G</b>,"5 x 10-16",,0.13703600000000005,1.073354,'-,1.05515030762903-1.09187169340547],RUNX1,Asthma,asthma,'-,GCST010042,21:35092334
rs760517-<b>T</b>,"1 x 10-8",,0.375008,1.0390522,'-,1.02544421051123-1.05284088112112],"NCF4, NCF4-AS1",Asthma,asthma,'-,GCST010042,22:36862944
rs202636-<b>T</b>,"1 x 10-12",,0.204026,1.0545822,'-,1.03925377661519-1.07013686775782],ACO2,Asthma,asthma,'-,GCST010042,22:41456475
rs2016366-<b>A</b>,"4 x 10-11",,0.508245,1.0405252,'-,[1.0283539943951-1.05284036011966],"PRXL2B, TNFRSF14",Asthma,asthma,'-,GCST010042,1:2582239
rs301816-<b>A</b>,"5 x 10-14",,0.578784,1.0470792,'-,[1.03460746255146-1.05970138989138],RERE,Asthma,asthma,'-,GCST010042,1:8444998
rs6687430-<b>A</b>,"7 x 10-11",,0.541675,1.0400028,'-,[1.02780584230096-1.0523444593877],PEX14,Asthma,asthma,'-,GCST010042,1:10573188
rs2230624-<b>G</b>,"4 x 10-12",,0.985836,1.1915305,'-,[1.13389988196823-1.25209012426842],TNFRSF8,Asthma,asthma,'-,GCST010042,1:12115601
rs34349689-<b>GT</b>,"6 x 10-12",,0.561034,1.0426724,'-,[1.03035224576096-1.05513977607479],RUNX3,Asthma,asthma,'-,GCST010042,1:24924429
rs2228552-<b>T</b>,"3 x 10-8",,0.630981,1.0350089,'-,[1.02243528738587-1.04773714358246],COL16A1,Asthma,asthma,'-,GCST010042,1:31699894
rs71580314-<b>A</b>,"2 x 10-9",,0.513411,1.0369785,'-,[1.02482433278261-1.04927681656505],"ADAMTSL4-AS2, FALEC",Asthma,asthma,'-,GCST010042,1:150535216
rs61816761-<b>A</b>,"4 x 10-39",,0.021526000000000045,1.3312707,'-,[1.27545914364867-1.38952433420026],"FLG, FLG-AS1",Asthma,asthma,'-,GCST010042,1:152313385
rs1202085373-<b>A</b>,"2 x 10-12",,0.41675300000000004,1.0444554,'-,[1.03193148291903-1.05713134897115],IL6R,Asthma,asthma,'-,GCST010042,1:154437881
rs776871909-<b>CT</b>,"5 x 10-10",,0.73308,1.0430231,'-,[1.02923910611759-1.05699182830947],CADM3,Asthma,asthma,'-,GCST010042,1:159181531
rs2070901-<b>T</b>,"4 x 10-12",,0.275583,1.0477369,'-,[1.03405413981002-1.06160062161201],FCER1G,Asthma,asthma,'-,GCST010042,1:161215268
rs1723016-<b>T</b>,"2 x 10-21",,0.597219,1.0597988,'-,[1.04718057640867-1.07256914786657],CD247,Asthma,asthma,'-,GCST010042,1:167463819
rs10912564-<b>T</b>,"2 x 10-14",,0.31480600000000003,1.0513837,'-,[1.03803296327663-1.06490626907847],TNFSF4,Asthma,asthma,'-,GCST010042,1:173201479
rs76181804-<b>A</b>,"3 x 10-13",,0.883985,1.0707214,'-,[1.05129066887765-1.09051130836444],"PTPRC, ATP6V1G3",Asthma,asthma,'-,GCST010042,1:198632575
rs7538512-<b>A</b>,"1 x 10-11",,0.669611,1.0441473,'-,[1.03120308041067-1.05725391787758],ADORA1,Asthma,asthma,'-,GCST010042,1:203122931
rs372362333-<b>C</b>,"1 x 10-9",,0.478548,1.03767,'-,[1.02534969760914-1.05013828671588],SRGAP2,Asthma,asthma,'-,GCST010042,1:206449448
rs371923485-<b>A</b>,"4 x 10-8",,0.146154,1.0478418,'-,[1.03046696064204-1.06550955630779],BATF3,Asthma,asthma,'-,GCST010042,1:212688020
rs697852-<b>A</b>,"2 x 10-9",,0.821214,1.0486665,'-,[1.03264042532009-1.06494123231415],ITPKB,Asthma,asthma,'-,GCST010042,1:226727033
rs891058-<b>G</b>,"1 x 10-24",,0.711472,1.0702096,'-,[1.05641917454216-1.08418002509542],LINC00299,Asthma,asthma,'-,GCST010042,2:8302417
rs17009315-<b>G</b>,"2 x 10-8",,0.231479,1.0405449,'-,[1.02615497210148-1.05513661367178],LBH,Asthma,asthma,'-,GCST010042,2:30268526
rs35668054-<b>C</b>,"4 x 10-8",,0.924705,1.0658935,'-,[1.04180743031672-1.09053645378599],'-,Asthma,asthma,'-,GCST010042,2:71827707
rs10197862-<b>A</b>,"4 x 10-93",,0.858058,1.1916052,'-,[1.17176716187161-1.21177921124935],"IL18R1, IL1RL1",Asthma,asthma,'-,GCST010042,2:102350089
rs848-<b>A</b>,"1 x 10-39",,0.193015,1.1060083,'-,[1.08956060156834-1.12270415995589],"TH2LCRR, IL13",Asthma,asthma,'-,GCST010042,5:132660808
rs62379371-<b>G</b>,"7 x 10-9",,0.953892,1.0861901,'-,[1.05627748437013-1.1169497692306],"VDAC1, TCF7",Asthma,asthma,'-,GCST010042,5:134103583
rs249681-<b>C</b>,"2 x 10-16",,0.6198250000000001,1.0521885,'-,[1.03951488876972-1.06501664049565],NDFIP1,Asthma,asthma,'-,GCST010042,5:142158452
rs11746314-<b>G</b>,"4 x 10-11",,0.056262000000000034,1.0896028,'-,[1.06216664837889-1.1177476329021],CYFIP2,Asthma,asthma,'-,GCST010042,5:157325949
rs4921290-<b>A</b>,"8 x 10-12",,0.759115,1.0491184,'-,[1.03479053213545-1.06364461148588],MIR3142HG,Asthma,asthma,'-,GCST010042,5:160487233
rs56297224-<b>A</b>,"2 x 10-8",,0.25827599999999995,1.0390959,'-,[1.02518477944578-1.05319570733018],SLC34A1,Asthma,asthma,'-,GCST010042,5:177388879
rs952579-<b>A</b>,"2 x 10-9",,0.14090999999999998,1.0526516,'-,[1.03506473248894-1.07053747171829],CASC15,Asthma,asthma,'-,GCST010042,6:21884209
rs761202278-<b>A</b>,"6 x 10-13",,0.39729499999999995,1.0465173,'-,[1.03364422257173-1.0595505690207],H2BC6,Asthma,asthma,'-,GCST010042,6:26173025
rs1233578-<b>G</b>,"4 x 10-12",,0.17936300000000005,1.0560242,'-,[1.03991341766738-1.07238465256811],"NOP56P1, RPSAP2",Asthma,asthma,'-,GCST010042,6:28744470
rs28383454-<b>T</b>,"1 x 10-143",,0.537194,1.1737434,'-,[1.15939079874647-1.18827364549105],HLA-DQA1,Asthma,asthma,'-,GCST010042,6:32641593
rs6901830-<b>G</b>,"1 x 10-19",,0.847121,1.0788485,'-,[1.0613158162383-1.09667081279089],"HLA-DPA3, HLA-DPB2",Asthma,asthma,'-,GCST010042,6:33130567
rs9348970-<b>C</b>,"7 x 10-10",,0.18522700000000003,1.0491855,'-,[1.03328709619862-1.06532859183176],"SCUBE3, TCP11",Asthma,asthma,'-,GCST010042,6:35185788
rs1198807554-<b>CA</b>,"8 x 10-38",,0.626745,1.0839757,'-,[1.07073315781421-1.0973820825032],BACH2,Asthma,asthma,'-,GCST010042,6:90291614
rs772675085-<b>TTTTTTG</b>,"1 x 10-8",,0.893534,1.0588179,'-,[1.03822049480819-1.07982384660597],SESN1,Asthma,asthma,'-,GCST010042,6:109007801
rs41285280-<b>T</b>,"2 x 10-17",,0.23764200000000002,1.0621314,'-,[1.0474825755761-1.07698506650107],PTPRK,Asthma,asthma,'-,GCST010042,6:127970504
rs2614266-<b>A</b>,"9 x 10-12",,0.43632,1.0421101,'-,[1.02983411256261-1.05453244981004],AHI1,Asthma,asthma,'-,GCST010042,6:135395394
rs6927172-<b>C</b>,"6 x 10-11",,0.785547,1.0489887,'-,[1.034094561364-1.06409746234829],LINC02539,Asthma,asthma,'-,GCST010042,6:137681038
rs768512669-<b>C</b>,"3 x 10-9",,0.367548,1.0376698,'-,[1.02503839469497-1.05045675241734],ZC3H12D,Asthma,asthma,'-,GCST010042,6:149465354
rs1401084970-<b>C</b>,"3 x 10-9",,0.467182,1.0372341,'-,[1.02481020872603-1.049808659194],SCAF8,Asthma,asthma,'-,GCST010042,6:154813040
rs73033560-<b>G</b>,"7 x 10-11",,0.910805,1.0712291,'-,[1.04929794715679-1.09361851110627],CARD11,Asthma,asthma,'-,GCST010042,7:3117642
rs7802450-<b>T</b>,"5 x 10-21",,0.576635,1.058682,'-,[1.04617161876384-1.07134183604679],EEF1A1P27,Asthma,asthma,'-,GCST010042,7:20530448
rs1800797-<b>G</b>,"1 x 10-11",,0.599008,1.0429152,'-,[1.03033495053184-1.0556490989781],"IL6-AS1, IL6, STEAP1B",Asthma,asthma,'-,GCST010042,7:22726602
rs917117-<b>A</b>,"2 x 10-22",,0.213387,1.0746008,'-,[1.05916592855987-1.09026073907999],JAZF1,Asthma,asthma,'-,GCST010042,7:28136686
rs370802342-<b>TA</b>,"3 x 10-8",,0.20546,1.044234,'-,[1.02840984497507-1.06030161733972],GSAP,Asthma,asthma,'-,GCST010042,7:77375844
rs4739738-<b>G</b>,"2 x 10-32",,0.364996,1.0765022,'-,[1.06345285866694-1.08971161467683],"RNU6-1213P, LINC00529",Asthma,asthma,'-,GCST010042,8:80379410
rs138308793-<b>A</b>,"4 x 10-8",,0.12504899999999997,1.0523026,'-,[1.03340354315471-1.07154719595286],"MIR4435-2HG, SOCAR",Asthma,asthma,'-,GCST010042,2:111493181
rs7425446-<b>A</b>,"2 x 10-8",,0.19301500000000005,1.0434245,'-,[1.02799881345576-1.05908152354951],KYNU,Asthma,asthma,'-,GCST010042,2:143019929
rs6741949-<b>G</b>,"1 x 10-8",,0.564873,1.0353172,'-,[1.02308734324488-1.04769332486533],DPP4,Asthma,asthma,'-,GCST010042,2:162053713
rs7423358-<b>C</b>,"2 x 10-12",,0.752847,1.0501442,'-,[1.0359018013349-1.0645823781235],"TDGF1P2, CCL20",Asthma,asthma,'-,GCST010042,2:227840005
rs34290285-<b>G</b>,"2 x 10-70",,0.740344,1.128748,'-,[1.11375354565426-1.14394442412391],D2HGDH,Asthma,asthma,'-,GCST010042,2:241759225
rs13101202-<b>C</b>,"2 x 10-9",,0.17407799999999995,1.049118,'-,[1.03277851151015-1.06571614202824],RAF1,Asthma,asthma,'-,GCST010042,3:12657862
rs2014490-<b>G</b>,"9 x 10-10",,0.65256,1.0392638,'-,[1.02653101253782-1.05215464668184],PLCL2,Asthma,asthma,'-,GCST010042,3:16930719
rs35570272-<b>T</b>,"2 x 10-21",,0.39590000000000003,1.0605001,'-,[1.04777297868662-1.07338199118561],GLB1,Asthma,asthma,'-,GCST010042,3:33006170
rs73078636-<b>G</b>,"5 x 10-8",,0.869747,1.0499036,'-,[1.03171119079686-1.06841682979067],DCAF1,Asthma,asthma,'-,GCST010042,3:51403873
rs61192126-<b>T</b>,"7 x 10-10",,0.705604,1.0416778,'-,[1.02824880005505-1.05528233494582],"RYBP, LINC00877",Asthma,asthma,'-,GCST010042,3:72345701
rs7622814-<b>T</b>,"1 x 10-8",,0.460336,1.0350466,'-,[1.02293087678879-1.04730582028949],CD200R1,Asthma,asthma,'-,GCST010042,3:112931584
rs9877891-<b>C</b>,"3 x 10-8",,0.17930100000000004,1.0443834,'-,[1.02851688115604-1.06049480265224],CD80,Asthma,asthma,'-,GCST010042,3:119542019
rs2811525-<b>C</b>,"6 x 10-9",,0.878624,1.0548887,'-,[1.03605658549925-1.07406305378248],EEFSEC,Asthma,asthma,'-,GCST010042,3:128280587
rs13077048-<b>T</b>,"3 x 10-10",,0.42690300000000003,1.0395259,'-,[1.02712038093014-1.05208123436372],ZBTB38,Asthma,asthma,'-,GCST010042,3:141388112
rs7626218-<b>A</b>,"5 x 10-15",,0.60342,1.0491837,'-,[1.03666653636308-1.0618519958479],TBL1XR1,Asthma,asthma,'-,GCST010042,3:177134250
rs13099273-<b>A</b>,"3 x 10-22",,0.486492,1.0610926,'-,[1.04848148453469-1.07385532469458],LPP,Asthma,asthma,'-,GCST010042,3:188415730
rs1684466-<b>G</b>,"4 x 10-16",,0.365934,1.0538113,'-,[1.04058434327169-1.06720640741425],LINC01063,Asthma,asthma,'-,GCST010042,3:196632439
rs5743618-<b>C</b>,"7 x 10-43",,0.732705,1.1047432,'-,[1.0891439397501-1.12056588422624],TLR1,Asthma,asthma,'-,GCST010042,4:38797027
rs17454584-<b>G</b>,"5 x 10-25",,0.208878,1.0791895,'-,[1.06368880699211-1.09491608613037],"IL2, ADAD1",Asthma,asthma,'-,GCST010042,4:122432277
rs796632525-<b>A</b>,"3 x 10-17",,0.07343599999999995,1.1048568,'-,[1.07960568189716-1.13069872408542],"CCT6P2, OTULINL",Asthma,asthma,'-,GCST010042,5:14633790
rs7717955-<b>C</b>,"1 x 10-19",,0.728091,1.0628034,'-,[1.04888561173507-1.07690588287531],IL7R,Asthma,asthma,'-,GCST010042,5:35862739
rs10040192-<b>C</b>,"3 x 10-8",,0.481842,1.0342108,'-,[1.02195975406116-1.04660871407771],"YBX1P5, PTCD2",Asthma,asthma,'-,GCST010042,5:72400053
rs1837253-<b>C</b>,"3 x 10-57",,0.733949,1.114133,'-,[1.09943653511993-1.12902587473291],TSLP,Asthma,asthma,'-,GCST010042,5:111066174
rs3813308-<b>G</b>,"4 x 10-11",,0.433763,1.0407587,'-,[1.02849919996135-1.05316434707474],TNFAIP8,Asthma,asthma,'-,GCST010042,5:119355086
rs11950815-<b>G</b>,"9 x 10-12",,0.631263,1.044193,'-,[1.0313102468288-1.05723664919642],RAPGEF6,Asthma,asthma,'-,GCST010042,5:131619794
rs13277355-<b>A</b>,"1 x 10-14",,0.274118,1.0531645,'-,[1.03937141396756-1.06714063398926],"PVT1, MYC",Asthma,asthma,'-,GCST010042,8:127765473
rs34173062-<b>A</b>,"1 x 10-12",,0.07002600000000003,1.0924679,'-,[1.066110188906-1.11947734381179],SHARPIN,Asthma,asthma,'-,GCST010042,8:144103704
rs992969-<b>A</b>,"2 x 10-78",,0.25298,1.1382953,'-,[1.12298746975675-1.15381185720836],"IL33, GTF3AP1",Asthma,asthma,'-,GCST010042,9:6209697
rs274945-<b>A</b>,"1 x 10-8",,0.511874,1.0348055,'-,[1.02268922369832-1.04706544896425],SUMO2P2,Asthma,asthma,'-,GCST010042,9:23585743
rs200491113-<b>G</b>,"1 x 10-13",,0.969438,1.1388404,'-,[1.10039461791397-1.17862955581483],"TGFBR1, RN7SL794P",Asthma,asthma,'-,GCST010042,9:99170570
rs34187268-<b>TCTC</b>,"3 x 10-9",,0.869275,1.0553126,'-,[1.03665756666031-1.07430333903184],"TEX48, TNFSF15",Asthma,asthma,'-,GCST010042,9:114743761
rs2159778-<b>G</b>,"5 x 10-9",,0.355534,1.0374209,'-,[1.02476362827473-1.05023436583256],TRAF1,Asthma,asthma,'-,GCST010042,9:120915851
rs10986291-<b>T</b>,"1 x 10-8",,0.335036,1.0367836,'-,[1.02396280128685-1.04976498247369],NEK6,Asthma,asthma,'-,GCST010042,9:124253992
rs11539209-<b>T</b>,"1 x 10-10",,0.920527,1.0740873,'-,[1.05108988368768-1.09758781222079],ZDHHC12,Asthma,asthma,'-,GCST010042,9:128721272
rs117137535-<b>A</b>,"4 x 10-9",,0.025441999999999965,1.128491,'-,[1.08397923928279-1.17483064332888],ARRDC1,Asthma,asthma,'-,GCST010042,9:137605991
rs12722502-<b>C</b>,"1 x 10-24",,0.982952,1.2702866,'-,[1.2135339925021-1.32969322362422],IL2RA,Asthma,asthma,'-,GCST010042,10:6051176
rs2197415-<b>G</b>,"6 x 10-60",,0.582284,1.1044852,'-,[1.09139074428887-1.11773678101633],'-,Asthma,asthma,'-,GCST010042,10:9020893
rs12775438-<b>C</b>,"1 x 10-8",,0.616849,1.0358254,'-,[1.02339071472577-1.04841114017365],ALDH7A1P4,Asthma,asthma,'-,GCST010042,10:62677713
rs1227677510-<b>C</b>,"1 x 10-12",,0.556886,1.0440534,'-,[1.03175279853403-1.056500748371],KIF11,Asthma,asthma,'-,GCST010042,10:92631683
rs12788104-<b>G</b>,"3 x 10-15",,0.676335,1.0523579,'-,[1.03908971790108-1.06579557171157],"MUC5AC, MUC2",Asthma,asthma,'-,GCST010042,11:1129831
rs11042902-<b>T</b>,"4 x 10-9",,0.29993800000000004,1.0395753,'-,[1.02624203689308-1.05308191636175],IRAG1,Asthma,asthma,'-,GCST010042,11:10634076
rs7108441-<b>A</b>,"4 x 10-9",,0.725239,1.0406339,'-,[1.02692405670356-1.05452679518749],PRR5L,Asthma,asthma,'-,GCST010042,11:36330231
rs1535-<b>A</b>,"4 x 10-14",,0.660367,1.0492396,'-,[1.03626724958544-1.06237449777925],FADS2,Asthma,asthma,'-,GCST010042,11:61830500
rs479844-<b>G</b>,"1 x 10-18",,0.54558,1.0547837,'-,[1.04237722311121-1.06733790161191],"AP5B1, OVOL1",Asthma,asthma,'-,GCST010042,11:65784486
rs7936323-<b>A</b>,"6 x 10-74",,0.472974,1.1152614,'-,[1.10223088865903-1.12844600435319],"EMSY, LINC02757",Asthma,asthma,'-,GCST010042,11:76582714
rs539524-<b>G</b>,"1 x 10-10",,0.696644,1.0436375,'-,[1.03020973121752-1.05724037162945],SIK2,Asthma,asthma,'-,GCST010042,11:111606601
rs12365699-<b>G</b>,"2 x 10-17",,0.836856,1.0718168,'-,[1.05483384624064-1.08907327958864],"CXCR5, Y_RNA",Asthma,asthma,'-,GCST010042,11:118872577
rs1940377-<b>G</b>,"9 x 10-12",,0.787083,1.0513296,'-,[1.03630865380046-1.06656823804872],LINC02098,Asthma,asthma,'-,GCST010042,11:128261371
rs11168244-<b>C</b>,"4 x 10-9",,0.768438,1.0428624,'-,[1.02837339612537-1.05755553761353],HDAC7,Asthma,asthma,'-,GCST010042,12:47809158
rs62623446-<b>T</b>,"6 x 10-9",,0.06834700000000005,1.0713284,'-,[1.0467025768701-1.09653363741699],TESPA1,Asthma,asthma,'-,GCST010042,12:54974507
rs3024971-<b>T</b>,"3 x 10-32",,0.895093,1.1226287,'-,[1.10130557400131-1.14436473003285],STAT6,Asthma,asthma,'-,GCST010042,12:57099944
rs11178649-<b>G</b>,"2 x 10-9",,0.601967,1.037402,'-,[1.02499484869509-1.04995944088449],TSPAN8,Asthma,asthma,'-,GCST010042,12:71139458
rs377150901-<b>G</b>,"4 x 10-10",,0.861957,1.0561837,'-,[1.03827414919458-1.07440206223301],PLXNC1,Asthma,asthma,'-,GCST010042,12:94164662
rs11065987-<b>A</b>,"3 x 10-8",,0.598613,1.0347302,'-,[1.02226687008468-1.04734545727041],"BRAP, ATXN2-AS",Asthma,asthma,'-,GCST010042,12:111634620
rs2701184-<b>T</b>,"2 x 10-11",,0.58789,1.0415916,'-,[1.02921701919994-1.05411508796116],"RPL12P33, CLIC1P1",Asthma,asthma,'-,GCST010042,12:120915285
rs34270626-<b>GT</b>,"6 x 10-10",,0.648976,1.0397792,'-,[1.02701689441644-1.05270006273213],COG6,Asthma,asthma,'-,GCST010042,13:39779254
rs61960013-<b>G</b>,"7 x 10-9",,0.211368,1.0436537,'-,[1.02866995432231-1.05885583650163],NRAD1,Asthma,asthma,'-,GCST010042,13:43916045
rs61957178-<b>T</b>,"3 x 10-10",,0.165339,1.0521557,'-,[1.03562224020029-1.06895330034983],LINC00393,Asthma,asthma,'-,GCST010042,13:73421057
rs34259893-<b>C</b>,"9 x 10-19",,0.6863779999999999,1.0596404,'-,[1.04612209898223-1.07333330109394],UBAC2,Asthma,asthma,'-,GCST010042,13:99377210
rs2007960-<b>T</b>,"7 x 10-11",,0.6061030000000001,1.0409938,'-,[1.02849473767269-1.05364468199319],"NFKBIA, DNAJC8P1",Asthma,asthma,'-,GCST010042,14:35413729
rs1950897-<b>C</b>,"3 x 10-16",,0.296881,1.0559747,'-,[1.04227299178085-1.06985664256798],RAD51B,Asthma,asthma,'-,GCST010042,14:68293424
rs10131290-<b>C</b>,"2 x 10-10",,0.32987599999999995,1.0414252,'-,[1.02847538109455-1.05453819620849],RIN3,Asthma,asthma,'-,GCST010042,14:92549134
rs4906259-<b>C</b>,"1 x 10-9",,0.17413100000000004,1.0500475,'-,[1.03374584627989-1.06660629287547],"TRAF3, RCOR1",Asthma,asthma,'-,GCST010042,14:102762080
rs1655558-<b>G</b>,"1 x 10-11",,0.558991,1.0425352,'-,[1.03011441910146-1.05510564874535],ITPKA,Asthma,asthma,'-,GCST010042,15:41495387
rs11071559-<b>C</b>,"2 x 10-27",,0.859587,1.0986217,'-,[1.08008159056028-1.11748006536529],RORA,Asthma,asthma,'-,GCST010042,15:60777789
rs56375023-<b>A</b>,"5 x 10-57",,0.228719,1.1204897,'-,[1.10489925623644-1.13630020829068],SMAD3,Asthma,asthma,'-,GCST010042,15:67156025
rs4842921-<b>G</b>,"5 x 10-10",,0.605551,1.0389574,'-,[1.02653646878929-1.05152843953779],ADAMTSL3,Asthma,asthma,'-,GCST010042,15:83887871
rs35441874-<b>T</b>,"7 x 10-42",,0.754202,1.0995073,'-,1.08453690782996-1.11468434713069],CLEC16A,Asthma,asthma,'-,GCST010042,16:11119164
rs3024622-<b>G</b>,"7 x 10-22",,0.350356,1.0627002,'-,1.04960343556163-1.07596031623203],IL4R,Asthma,asthma,'-,GCST010042,16:27354132
rs2066844-<b>T</b>,"3 x 10-9",,0.044763,1.0895472,'-,1.05905155654981-1.12092082938419],NOD2,Asthma,asthma,'-,GCST010042,16:50712015
rs71368508-<b>C</b>,"7 x 10-10",,0.979488,1.1407447,'-,1.09402023022414-1.18946471518921],"LINC01996, RNU6-955P",Asthma,asthma,'-,GCST010042,17:4618178
rs72842819-<b>C</b>,"3 x 10-9",,0.11639500000000003,1.0573143,'-,1.03798991345177-1.07699840729814],"SPEM2, SPEM1",Asthma,asthma,'-,GCST010042,17:7425502
rs750065349-<b>GC</b>,"9 x 10-10",,0.463451,1.0376351,'-,1.02545590125554-1.04995902154559],'-,Asthma,asthma,'-,GCST010042,17:12290127
rs2305479-<b>C</b>,"3 x 10-69",,0.503575,1.1115996,'-,1.09857261213927-1.12478100946316],GSDMB,Asthma,asthma,'-,GCST010042,17:39905964
rs9909628-<b>A</b>,"3 x 10-11",,0.684838,1.0440136,'-,1.03082126991627-1.05737475499095],STAT5B,Asthma,asthma,'-,GCST010042,17:42266553
rs4247364-<b>G</b>,"9 x 10-14",,0.30051,1.0500362,'-,1.03665496174751-1.0635901481432],"MAP3K14-AS1, SPATA32",Asthma,asthma,'-,GCST010042,17:45259320
rs72833417-<b>T</b>,"3 x 10-12",,0.12717599999999996,1.0665832,'-,1.04741269729047-1.08610451190362],"TBX21, OSBPL7",Asthma,asthma,'-,GCST010042,17:47795683
rs12952581-<b>A</b>,"5 x 10-21",,0.35009,1.0613797,'-,1.0482954853923-1.07462705454153],"PHB, ZNF652",Asthma,asthma,'-,GCST010042,17:49370984
rs1991401-<b>A</b>,"1 x 10-8",,0.688429,1.0379757,'-,1.0247751589764-1.05134626607123],DDX5,Asthma,asthma,'-,GCST010042,17:64506317
rs76848919-<b>C</b>,"6 x 10-9",,0.19947099999999995,1.0448253,'-,1.02952806486462-1.06034995216004],"LINC01993, SOCS3",Asthma,asthma,'-,GCST010042,17:78356473
rs12956924-<b>A</b>,"4 x 10-8",,0.315512,1.0365282,'-,1.02337271144026-1.04985278553262],SMAD7,Asthma,asthma,'-,GCST010042,18:48924776
rs11379197-<b>GT</b>,"2 x 10-10",,0.24746100000000004,1.0460713,'-,1.03167130576522-1.06067235724846],POLI,Asthma,asthma,'-,GCST010042,18:54273387
rs3826620-<b>G</b>,"1 x 10-9",,0.711184,1.0411626,'-,1.02768230209461-1.05481972279216],TNFRSF11A,Asthma,asthma,'-,GCST010042,18:62354271
rs12964116-<b>G</b>,"3 x 10-9",,0.036428000000000016,1.0997304,'-,1.06583849646651-1.13470005768462],SERPINB7,Asthma,asthma,'-,GCST010042,18:63775385
rs117552144-<b>T</b>,"4 x 10-11",,0.06393300000000002,1.0897738,'-,1.06237877984166-1.11787523000303],GNA15,Asthma,asthma,'-,GCST010042,19:3136093
rs10420217-<b>C</b>,"2 x 10-8",,0.283281,1.0384583,'-,1.02485901559187-1.05223806465017],MPND,Asthma,asthma,'-,GCST010042,19:4355874
rs755023315-<b>G</b>,"3 x 10-9",,0.29203500000000004,1.0412879,'-,1.02750184475969-1.05525880650068],"Y_RNA, CD70",Asthma,asthma,'-,GCST010042,19:6579019
rs911263-<b>C</b>,"5 x 10-20",,0.29,'-,'-,'-,RAD51B,Asthma,asthma,'-,GCST010043,14:68286876
rs201267172-<b>G</b>,"4 x 10-12",,0.19,'-,'-,'-,ACO2,Asthma,asthma,'-,GCST010043,22:41522649
rs12788104-<b>G</b>,"2 x 10-18",,0.68,'-,'-,'-,"MUC5AC, MUC2",Asthma,asthma,'-,GCST010043,11:1129831
rs11042902-<b>T</b>,"2 x 10-10",,0.3,'-,'-,'-,IRAG1,Asthma,asthma,'-,GCST010043,11:10634076
rs7130870-<b>C</b>,"3 x 10-8",,0.67,'-,'-,'-,PRR5L,Asthma,asthma,'-,GCST010043,11:36322652
rs11071559-<b>C</b>,"5 x 10-37",,0.86,'-,'-,'-,RORA,Asthma,asthma,'-,GCST010043,15:60777789
rs17293632-<b>T</b>,"3 x 10-70",,0.23,'-,'-,'-,SMAD3,Asthma,asthma,'-,GCST010043,15:67150258
rs11259930-<b>A</b>,"1 x 10-12",,0.47,'-,'-,'-,ADAMTSL3,Asthma,asthma,'-,GCST010043,15:83908598
rs8029440-<b>G</b>,"3 x 10-8",,0.65,'-,'-,'-,"FURIN, RN7SL363P",Asthma,asthma,'-,GCST010043,15:90866284
rs11645975-<b>G</b>,"4 x 10-8",,0.74,'-,'-,'-,TRAP1,Asthma,asthma,'-,GCST010043,16:3699396
rs12935657-<b>G</b>,"8 x 10-52",,0.76,'-,'-,'-,CLEC16A,Asthma,asthma,'-,GCST010043,16:11125184
rs3024655-<b>G</b>,"6 x 10-25",,0.93,'-,'-,'-,IL4R,Asthma,asthma,'-,GCST010043,16:27358181
rs2066844-<b>T</b>,"8 x 10-9",,0.04,'-,'-,'-,NOD2,Asthma,asthma,'-,GCST010043,16:50712015
rs223819-<b>T</b>,"3 x 10-8",,0.91,'-,'-,'-,CCL22,Asthma,asthma,'-,GCST010043,16:57360950
rs72842819-<b>C</b>,"2 x 10-9",,0.12,'-,'-,'-,"SPEM2, SPEM1",Asthma,asthma,'-,GCST010043,17:7425502
rs750065349-<b>GC</b>,"1 x 10-8",,0.46,'-,'-,'-,'-,Asthma,asthma,'-,GCST010043,17:12290127
rs2305479-<b>C</b>,"8 x 10-112",,0.5,'-,'-,'-,GSDMB,Asthma,asthma,'-,GCST010043,17:39905964
rs2006141-<b>T</b>,"4 x 10-12",,0.72,'-,'-,'-,"PTP4A2P1, ATP6V0A1",Asthma,asthma,'-,GCST010043,17:42527700
rs7224548-<b>G</b>,"8 x 10-15",,0.3,'-,'-,'-,"MAP3K14-AS1, SPATA32",Asthma,asthma,'-,GCST010043,17:45259769
rs72833417-<b>T</b>,"1 x 10-11",,0.13,'-,'-,'-,"TBX21, OSBPL7",Asthma,asthma,'-,GCST010043,17:47795683
rs17637472-<b>A</b>,"6 x 10-28",,0.39,'-,'-,'-,"ZNF652, PHB",Asthma,asthma,'-,GCST010043,17:49384071
rs111365807-<b>C</b>,"4 x 10-8",,0.12,'-,'-,'-,UNC13D,Asthma,asthma,'-,GCST010043,17:75829382
rs12453988-<b>T</b>,"2 x 10-9",,0.37,'-,'-,'-,SMAD4,Asthma,asthma,'-,GCST010043,18:51055548
rs3730775-<b>T</b>,"4 x 10-11",,0.6,'-,'-,'-,POLI,Asthma,asthma,'-,GCST010043,18:54287596
rs3826620-<b>G</b>,"1 x 10-9",,0.71,'-,'-,'-,TNFRSF11A,Asthma,asthma,'-,GCST010043,18:62354271
rs12964116-<b>G</b>,"2 x 10-8",,0.04,'-,'-,'-,SERPINB7,Asthma,asthma,'-,GCST010043,18:63775385
rs228953-<b>G</b>,"2 x 10-9",,0.57,'-,'-,'-,IL2RB,Asthma,asthma,'-,GCST010043,22:37135396
